ID;TITULO;FRASE;PARTE;LINK;AS;P1;A1;A2;A3
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);"""Porque não, a cusão é que ele e eu ao mesmo tempo, hein?""";Início;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;Negativo;Negativo;Negativo;Negativo;Negativo
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);"""julgamento por pornografia infantil.""";Início;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;Negativo;Negativo;Negativo;Negativo;Negativo
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);"""E se está mostrando muita puta""";Início;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;Negativo;Negativo;Negativo;Negativo;Negativo
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);"""chuva dorada""";Início;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;Negativo;Negativo;Negativo;Negativo;Negativo
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);"""Porque não, a Cusão """;Início;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;Negativo;Negativo;Negativo;Negativo;Negativo
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);"""Onde é que estão aqueles seus dois netos, cabeça de merda, hein?""";Meio;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;Negativo;Negativo;Negativo;Negativo;Negativo
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);"""Cara, foda-se, esses criollos intelectuais de uma figa.""";Meio;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;Negativo;Positivo;Negativo;Negativo;Negativo
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);"""Essa é a única forma de manter esses criollos sob controle.""";Meio;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;Negativo;Negativo;Negativo;Negativo;Negativo
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);"""Aquele nego desgraçado """;Meio;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;Negativo;Negativo;Negativo;Negativo;Negativo
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);"""esses criolos sob""";Meio;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;Negativo;Negativo;Negativo;Negativo;Negativo
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);"""É, elas andam confio dental, bem enfiado na bunda.""";Fim;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;Negativo;Negativo;Negativo;Negativo;Negativo
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);"""Que porra é essa?""";Fim;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;Negativo;Negativo;Negativo;Negativo;Negativo
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);"""vadia branca.""";Fim;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;Negativo;Negativo;Negativo;Negativo;Negativo
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);"""sortudo desgraçado.""";Fim;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;Negativo;Negativo;Negativo;Negativo;Negativo
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);"""atraído sexualmente""";Fim;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;Neutro;Neutro;Neutro;Neutro;Neutro
B-ad3jrUE1U;The boondocks 1Temporada - Ep1 (Dublado PT-BR);"""Ou eu bato na sua bunda.""";Início;https://www.youtube.com/watch?v=B-ad3jrUE1U&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO ;Negativo;Negativo;Negativo;Negativo;Negativo
B-ad3jrUE1U;The boondocks 1Temporada - Ep1 (Dublado PT-BR);"""Ah, droga.""";Início;https://www.youtube.com/watch?v=B-ad3jrUE1U&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO;Negativo;Negativo;Negativo;Negativo;Negativo
B-ad3jrUE1U;The boondocks 1Temporada - Ep1 (Dublado PT-BR);"""Droga, causando pânico nos brancos.""";Início;https://www.youtube.com/watch?v=B-ad3jrUE1U&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO;Negativo;Negativo;Positivo;Negativo;Negativo
B-ad3jrUE1U;The boondocks 1Temporada - Ep1 (Dublado PT-BR);"""que não agir como criolo""";Início;https://www.youtube.com/watch?v=B-ad3jrUE1U&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO;Negativo;Negativo;Negativo;Negativo;Negativo
B-ad3jrUE1U;The boondocks 1Temporada - Ep1 (Dublado PT-BR);"""Um... E diabos!""";Início;https://www.youtube.com/watch?v=B-ad3jrUE1U&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO;Negativo;Negativo;Negativo;Negativo;Negativo
B-ad3jrUE1U;The boondocks 1Temporada - Ep1 (Dublado PT-BR);"""Esse desgraçado foi pegar uma capa de chuva.""";Meio;https://www.youtube.com/watch?v=B-ad3jrUE1U&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO;Negativo;Negativo;Negativo;Neutro;Negativo
B-ad3jrUE1U;The boondocks 1Temporada - Ep1 (Dublado PT-BR);"""Porra, Robert, você viu uma passeata usando uma beira de capa de chuva?""";Meio;https://www.youtube.com/watch?v=B-ad3jrUE1U&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO;Negativo;Negativo;Negativo;Negativo;Negativo
B-ad3jrUE1U;The boondocks 1Temporada - Ep1 (Dublado PT-BR);"""Você é um desgraçado que o senhor...""";Meio;https://www.youtube.com/watch?v=B-ad3jrUE1U&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO;Negativo;Negativo;Negativo;Negativo;Negativo
B-ad3jrUE1U;The boondocks 1Temporada - Ep1 (Dublado PT-BR);"""A mulher branca com uma bela bunda.""";Meio;https://www.youtube.com/watch?v=B-ad3jrUE1U&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO;Neutro;Neutro;Neutro;Negativo;Neutro
B-ad3jrUE1U;The boondocks 1Temporada - Ep1 (Dublado PT-BR);"""Filho da puta""";Meio;https://www.youtube.com/watch?v=B-ad3jrUE1U&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO;Negativo;Negativo;Negativo;Negativo;Negativo
B-ad3jrUE1U;The boondocks 1Temporada - Ep1 (Dublado PT-BR);"""E ainda será um filho da puta idiota.""";Fim;https://www.youtube.com/watch?v=B-ad3jrUE1U&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO;Negativo;Negativo;Negativo;Negativo;Negativo
B-ad3jrUE1U;The boondocks 1Temporada - Ep1 (Dublado PT-BR);"""Por causa da porra do cheiro.""";Fim;https://www.youtube.com/watch?v=B-ad3jrUE1U&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO;Negativo;Negativo;Negativo;Negativo;Neutro
B-ad3jrUE1U;The boondocks 1Temporada - Ep1 (Dublado PT-BR);"""É uma invenção de merda.""";Fim;https://www.youtube.com/watch?v=B-ad3jrUE1U&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO;Negativo;Negativo;Negativo;Negativo;Negativo
B-ad3jrUE1U;The boondocks 1Temporada - Ep1 (Dublado PT-BR);"""Eles devem muito com essa merda da sua cara.""";Fim;https://www.youtube.com/watch?v=B-ad3jrUE1U&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO;Negativo;Negativo;Negativo;Neutro;Negativo
B-ad3jrUE1U;The boondocks 1Temporada - Ep1 (Dublado PT-BR);"""Devem achar que você é a porra do Sidney Potier.""";Fim;https://www.youtube.com/watch?v=B-ad3jrUE1U&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO;Negativo;Negativo;Negativo;Negativo;Negativo
sOA89CKfHPw;The Boondocks - Episódio 4 (Dublado PT-BR);"""Pra mim isso aqui é tudo uma merda.""";Início;https://www.youtube.com/watch?v=sOA89CKfHPw&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO&index=4;Negativo;Negativo;Negativo;Negativo;Negativo
sOA89CKfHPw;The Boondocks - Episódio 4 (Dublado PT-BR);"""Ou B, lutar com babaca do crioulo cego e louco.""";Início;https://www.youtube.com/watch?v=sOA89CKfHPw&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO&index=4;Negativo;Negativo;Negativo;Negativo;Negativo
sOA89CKfHPw;The Boondocks - Episódio 4 (Dublado PT-BR);"""Seu filho da puta, seu crioulo e diota.""";Início;https://www.youtube.com/watch?v=sOA89CKfHPw&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO&index=4;Negativo;Negativo;Negativo;Negativo;Negativo
sOA89CKfHPw;The Boondocks - Episódio 4 (Dublado PT-BR);"""O que você está fazendo desgrassado? """;Início;https://www.youtube.com/watch?v=sOA89CKfHPw&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO&index=4;Negativo;Negativo;Negativo;Negativo;Negativo
sOA89CKfHPw;The Boondocks - Episódio 4 (Dublado PT-BR);"""esta droga de música?""";Início;https://www.youtube.com/watch?v=sOA89CKfHPw&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO&index=4;Negativo;Negativo;Negativo;Negativo;Negativo
sOA89CKfHPw;The Boondocks - Episódio 4 (Dublado PT-BR);"""Este é o criolo negro samurai.""";Meio;https://www.youtube.com/watch?v=sOA89CKfHPw&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO&index=4;Negativo;Negativo;Negativo;Negativo;Negativo
sOA89CKfHPw;The Boondocks - Episódio 4 (Dublado PT-BR);"""Um momento criolo""";Meio;https://www.youtube.com/watch?v=sOA89CKfHPw&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO&index=4;Negativo;Negativo;Negativo;Negativo;Negativo
sOA89CKfHPw;The Boondocks - Episódio 4 (Dublado PT-BR);"""Eu vi você no jornal com essa sua bunda preta.""";Meio;https://www.youtube.com/watch?v=sOA89CKfHPw&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO&index=4;Negativo;Negativo;Negativo;Negativo;Negativo
sOA89CKfHPw;The Boondocks - Episódio 4 (Dublado PT-BR);"""quer ter um criolo""";Meio;https://www.youtube.com/watch?v=sOA89CKfHPw&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO&index=4;Negativo;Negativo;Negativo;Negativo;Negativo
sOA89CKfHPw;The Boondocks - Episódio 4 (Dublado PT-BR);"""filho da puta """;Meio;https://www.youtube.com/watch?v=sOA89CKfHPw&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO&index=4;Negativo;Negativo;Negativo;Negativo;Negativo
sOA89CKfHPw;The Boondocks - Episódio 4 (Dublado PT-BR);"""Foi por isso, merda.""";Fim;https://www.youtube.com/watch?v=sOA89CKfHPw&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO&index=4;Negativo;Negativo;Negativo;Negativo;Negativo
sOA89CKfHPw;The Boondocks - Episódio 4 (Dublado PT-BR);"""Ele mata um homem usando só a bunda.""";Fim;https://www.youtube.com/watch?v=sOA89CKfHPw&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO&index=4;Negativo;Negativo;Negativo;Negativo;Negativo
sOA89CKfHPw;The Boondocks - Episódio 4 (Dublado PT-BR);"""Um momento criolo particular em vergonha você.""";Fim;https://www.youtube.com/watch?v=sOA89CKfHPw&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO&index=4;Negativo;Neutro;Negativo;Negativo;Negativo
sOA89CKfHPw;The Boondocks - Episódio 4 (Dublado PT-BR);"""Eu vou comer de sessão, velho!""";Fim;https://www.youtube.com/watch?v=sOA89CKfHPw&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO&index=4;Negativo;Negativo;Negativo;Negativo;Negativo
